name,longitude,latitude,status,completion_year
Commonwealth Crescent Market,103.80036727142618,1.3069001323584224,Existing,1965.0
Tiong Bahru Market,103.83218154655142,1.2847855982150984,Existing,
Golden Mile Food Centre,103.863877615715,1.303141753061011,Existing,1975.0
Dunman Food Centre,103.9018254078894,1.3094178879625105,Existing,1974.0
Beo Crescent Market,103.8273538919747,1.2888308915646167,Existing,1965.0
Newton Food Centre,103.83956972873328,1.3119155203922301,Existing,1971.0
Adam Road Food Centre,103.81416592401631,1.3241598522323794,Existing,1974.0
Kallang Estate Fresh Market and Food Centre,103.88401769942449,1.307343983274556,Existing,1959.0
New Market Road Blk 32 (People's Park Food Centre),103.84257877119593,1.284858608203884,Existing,1965.0
North Bridge Road Market,103.86390933661885,1.305634336272546,Existing,1973.0
Holland Village Market and Food Centre,103.79487641992755,1.3110729744341822,Existing,
Chomp Chomp Food Centre,103.86652701707575,1.3642325250966993,Existing,1972.0
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),103.73773841154456,1.3434881852952274,Existing,1983.0
Jurong West Street 52 Blk 505,103.7184436782123,1.3496572915944292,Existing,1985.0
Marine Terrace Blk 50A (50A Marine Terrace),103.91573703509026,1.3057297360038187,Existing,1975.0
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),103.90634383419179,1.3022965558595991,Existing,1976.0
Kampung Admiralty Hawker Centre,103.80072071145584,1.4397495181298368,Existing (new),2017.0
Market Street Hawker Centre,103.85000596089957,1.2839000647082708,Existing (replacement),2021.0
Marsiling Lane Blk 20/21,103.7770061037781,1.4434162431254685,Existing,1975.0
Marsiling Mall Hawker Centre,103.7798818923625,1.4335431810333386,Existing (replacement),2017.0
Mei Chin Road Blk 159 (Mei Chin Road Market),103.80290387146337,1.2932362444197107,Existing,1970.0
New Upper Changi Road Blk 208B,103.93057030470072,1.324782370224249,Existing,2014.0
New Upper Changi Road Blk 58,103.94112527731751,1.3242008730218346,Existing,1978.0
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),103.88580870625425,1.3082518466799975,Existing,1973.0
Pasir Ris Central Hawker Centre,103.95157134251521,1.373472520364779,Existing (new),2017.0
