station_name,station_code,line,opening_date,latitude,longitude
Admiralty,NS10,North-South Line,1996-02-10,1.44058856161847,103.800990519771
Aljunied,EW9,East-West Line,1989-11-04,1.3164326118157,103.882906044385
Ang Mo Kio,NS16,North-South Line,1987-11-07,1.36993284962262,103.84955809232
Bartley,CC12,Circle Line,2009-05-28,1.34250117805245,103.880177899184
Bayfront,CE1/DT16,Circle Line Extension/Downtown Line,2012-01-14,1.28187378879209,103.859079764874
Bayshore,TE29,Thomson-East Coast Line,2024-06-23,1.31312248291264,103.942309776767
Beauty World,DT5,Downtown Line,2015-12-27,1.34122317558549,103.775794285083
Bedok,EW5,East-West Line,1989-11-04,1.32397996868158,103.929984495066
Bedok North,DT29,Downtown Line,2017-10-21,1.33474211664091,103.91797832995
Bedok Reservoir,DT30,Downtown Line,2017-10-21,1.33660782955099,103.932234623286
Bencoolen,DT21,Downtown Line,2017-10-21,1.29891843369422,103.850353762717
Bendemeer,DT23,Downtown Line,2017-10-21,1.31367252847691,103.862977620945
Bishan,NS17/CC15,North-South Line/Circle Line,1987-11-07,1.35083898784737,103.848143964542
Boon Keng,NE9,North East Line,2003-06-20,1.31933570922514,103.861569454156
Boon Lay,EW27,East-West Line,1990-07-06,1.33860405469845,103.706064622772
Botanic Gardens,CC19/DT9,Circle Line/Downtown Line,2011-10-08,1.32211373558877,103.814984510627
Braddell,NS18,North-South Line,1987-11-07,1.3404690010277,103.846799083148
Bras Basah,CC2,Circle Line,2010-04-17,1.29686168649656,103.850667371637
Bright Hill,TE7,Thomson-East Coast Line,2021-08-28,1.36328318545185,103.832893619992
Buangkok,NE15,North East Line,2006-01-15,1.38287001971672,103.893122569706
Bugis,EW12/DT14,East-West Line/Downtown Line,1989-11-04,1.30046508509717,103.855706730933
Bukit Batok,NS2,North-South Line,1990-03-10,1.34903331201636,103.749566478309
Bukit Gombak,NS3,North-South Line,1990-03-10,1.35861159094192,103.751790910733
Bukit Panjang,DT1,Downtown Line,2015-12-27,1.37900211641036,103.761535114929
Buona Vista,EW21/CC22,East-West Line/Circle Line,1988-03-12,1.3072237082044,103.790253514502
Caldecott,CC17/TE9,Circle Line/Thomson-East Coast Line,2011-10-08,1.33767337407828,103.839530785576
Canberra,NS12,North-South Line,2019-11-02,1.44307664075699,103.829702590959
Cashew,DT2,Downtown Line,2015-12-27,1.36981544925552,103.76443921414
Changi Airport,CG2,East-West Line Changi Airport Extension,2002-02-08,1.35747897447692,103.98788356959
Chinatown,NE4/DT19,North East Line/Downtown Line,2003-06-20,1.28435959278583,103.843426681863
Chinese Garden,EW25,East-West Line,1988-11-05,1.34235282081401,103.732596738363
Choa Chu Kang,NS4,North-South Line,1990-03-10,1.38536316540225,103.744370779756
City Hall,NS25/EW13,North-South Line/East-West Line,1987-12-12,1.29293672227779,103.852585580366
Clarke Quay,NE5,North East Line,2003-06-20,1.28838602407588,103.846555209694
Clementi,EW23,East-West Line,1988-03-12,1.31511625277378,103.765191452888
Commonwealth,EW20,East-West Line,1988-03-12,1.30250199924325,103.798228523336
Dakota,CC8,Circle Line,2010-04-17,1.30854798388121,103.889064718377
Dhoby Ghaut,NS24/NE6/CC1,North-South Line/North East Line/Circle Line,1987-12-12,1.29870132536119,103.846113677951
