school_name,postal_code,mainlevel_code,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,738907,PRIMARY,1.442634790331114,103.800040119743
ADMIRALTY SECONDARY SCHOOL,737916,SECONDARY (S1-S5),1.445890689109919,103.8023981965959
AHMAD IBRAHIM PRIMARY SCHOOL,768643,PRIMARY,1.433152715435181,103.8329424010853
AHMAD IBRAHIM SECONDARY SCHOOL,768928,SECONDARY (S1-S5),1.436059753688065,103.8297186900766
AI TONG SCHOOL,579646,PRIMARY,1.360583433890406,103.8330203339857
ALEXANDRA PRIMARY SCHOOL,159016,PRIMARY,1.291334391613348,103.8244246805311
ANCHOR GREEN PRIMARY SCHOOL,544969,PRIMARY,1.390369986546132,103.8871653759329
ANDERSON PRIMARY SCHOOL,569785,PRIMARY,1.384199419079249,103.8414117160061
ANDERSON SECONDARY SCHOOL,569206,SECONDARY (S1-S5),1.374340017011785,103.8515541070679
ANDERSON SERANGOON JUNIOR COLLEGE,534768,JUNIOR COLLEGE,1.365043420024426,103.8870388093729
ANG MO KIO PRIMARY SCHOOL,569920,PRIMARY,1.369321765846087,103.839630858752
ANG MO KIO SECONDARY SCHOOL,569362,SECONDARY (S1-S5),1.367337101710713,103.8421549736715
ANGLICAN HIGH SCHOOL,487012,SECONDARY (S1-S4),1.330581262051284,103.9410825130811
ANGLO-CHINESE JUNIOR COLLEGE,139745,JUNIOR COLLEGE,1.303042551933919,103.7853584364079
ANGLO-CHINESE SCHOOL (BARKER ROAD),309919,SECONDARY (S1-S5),1.319616491513279,103.8357726899882
ANGLO-CHINESE SCHOOL (INDEPENDENT),139650,MIXED LEVEL (S1-JC2),1.303704092577828,103.7803634176709
ANGLO-CHINESE SCHOOL (JUNIOR),227988,PRIMARY,1.309350412749673,103.840950265464
ANGLO-CHINESE SCHOOL (PRIMARY),309918,PRIMARY,1.31837054523522,103.8356097323541
ANGSANA PRIMARY SCHOOL,528565,PRIMARY,1.363605905883133,103.9389409003993
ASSUMPTION ENGLISH SCHOOL,678117,SECONDARY (S1-S5),1.368381606628573,103.766687526556
ASSUMPTION PATHWAY SCHOOL,679697,SECONDARY (S1-S4),1.369670704322713,103.7659591305809
BARTLEY SECONDARY SCHOOL,538403,SECONDARY (S1-S5),1.339954155878111,103.8828062117046
BEACON PRIMARY SCHOOL,679944,PRIMARY,1.383949362118238,103.7736320229752
BEATTY SECONDARY SCHOOL,318990,SECONDARY (S1-S5),1.341790284928019,103.8522808423451
BEDOK GREEN PRIMARY SCHOOL,469317,PRIMARY,1.323445932879926,103.937878976352
BEDOK GREEN SECONDARY SCHOOL,469722,SECONDARY (S1-S5),1.33451947288432,103.9350283833453
BEDOK SOUTH SECONDARY SCHOOL,468585,SECONDARY (S1-S5),1.325136551591829,103.9509891392604
BEDOK VIEW SECONDARY SCHOOL,469293,SECONDARY (S1-S5),1.324157040296861,103.9437762450238
BENDEMEER PRIMARY SCHOOL,339948,PRIMARY,1.321812507804748,103.8654041676288
BENDEMEER SECONDARY SCHOOL,327919,SECONDARY (S1-S5),1.324611113079975,103.8609702844009
BLANGAH RISE PRIMARY SCHOOL,109100,PRIMARY,1.276120479240372,103.808628535239
BOON LAY GARDEN PRIMARY SCHOOL,649930,PRIMARY,1.342840137916176,103.7128583819372
BOON LAY SECONDARY SCHOOL,648354,SECONDARY (S1-S5),1.34272216334335,103.7018914539119
BOWEN SECONDARY SCHOOL,547529,SECONDARY (S1-S5),1.3703599443621,103.877659577677
BROADRICK SECONDARY SCHOOL,399935,SECONDARY (S1-S5),1.307050611234331,103.886917922608
BUKIT BATOK SECONDARY SCHOOL,658962,SECONDARY (S1-S5),1.348491110790525,103.7408737048192
BUKIT MERAH SECONDARY SCHOOL,159050,SECONDARY (S1-S5),1.285692830642895,103.8134389293932
BUKIT PANJANG GOVT. HIGH SCHOOL,689809,SECONDARY (S1-S5),1.382242433600432,103.7383612218687
BUKIT PANJANG PRIMARY SCHOOL,679676,PRIMARY,1.373500899865845,103.7694173376537
BUKIT TIMAH PRIMARY SCHOOL,598112,PRIMARY,1.33774986225881,103.7668553447784
BUKIT VIEW PRIMARY SCHOOL,659634,PRIMARY,1.345860547886968,103.75366641455
BUKIT VIEW SECONDARY SCHOOL,659633,SECONDARY (S1-S5),1.345733055429413,103.7522265939839
